169
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,FPhases,NumCells,NumNeighbors,SurfaceFeatures,Volumes
1,-0.897712,0.234011,0.00625051,-0.373246,15.7482,6.01144,2.37647,0.238255,1,2045,10,1,2045
2,-0.449257,0.398829,-0.0690739,-0.79645,19.286,5.64369,1.28887,0.812518,1,3756,15,1,3756
3,0.883975,-0.102229,0.0699937,0.45082,14.2903,0.0388937,2.19411,0.269164,1,1528,6,1,1528
4,0.689338,0.0186263,0.252358,0.678809,13.199,0.382946,1.52184,0.328918,1,1204,10,1,1204
5,-0.425061,0.0719007,-0.0999951,-0.896746,18.9782,6.22667,0.891422,0.278617,1,3579,14,1,3579
6,0.857904,-0.360906,-0.335928,0.144571,16.7554,6.18053,1.70123,0.502357,1,2463,19,0,2463
7,0.702428,-0.10311,0.1315,0.69186,17.4329,0.0420775,1.57887,0.333577,1,2774,8,1,2774
8,-0.612098,0.222984,0.231908,-0.72238,19.9924,5.62319,1.41899,0.0387111,1,4184,10,1,4184
9,-0.857774,-0.35496,-0.0357299,-0.370067,16.6482,0.488611,2.37972,5.98708,1,2416,5,1,2416
10,-0.420847,0.131993,-0.0998618,-0.891904,15.5953,6.09077,0.913559,0.41542,1,1986,8,1,1986
11,-0.851374,0.310742,0.0203946,-0.422122,17.5163,5.88494,2.26894,0.301688,1,2814,17,1,2814
12,-0.821459,0.340661,-0.069363,-0.452045,15.4446,6.04232,2.1916,0.545371,1,1929,10,1,1929
13,-0.73093,-0.170859,-0.0401234,-0.659498,17.7234,0.290397,1.69804,6.11432,1,2915,15,1,2915
14,-0.528499,0.193202,-0.100393,-0.820538,18.0478,6.05445,1.19531,0.472221,1,3078,13,1,3078
15,-0.411633,-0.168452,-0.159582,-0.881315,14.2622,0.567569,0.921829,6.07388,1,1519,9,1,1519
16,0.662065,0.0481484,0.456981,0.592047,18.1604,0.729945,1.45181,0.584752,1,3136,11,1,3136
17,-0.437379,-0.228156,0.200219,-0.846497,15.2199,0.248554,1.03178,5.57011,1,1846,8,1,1846
18,0.845657,0.108864,0.220452,0.473724,19.3729,0.563583,2.04202,0.307524,1,3807,16,1,3807
19,0.743991,0.0488803,-0.262931,0.612336,14.6609,5.94321,1.68285,5.812,1,1650,7,1,1650
20,-0.862153,0.132726,0.0206277,-0.488518,14.1582,6.08824,2.11981,0.110548,1,1486,7,1,1486
21,0.792457,0.0186893,-0.112071,0.599251,19.4422,6.12188,1.83038,6.07472,1,3848,14,1,3848
22,0.879116,0.197764,0.188925,0.390323,20.5244,0.672058,2.24453,0.229509,1,4527,15,1,4527
23,-0.683141,0.284241,-0.00964042,-0.672631,14.2434,5.90323,1.66589,0.408622,1,1513,15,1,1513
24,-0.46178,0.102244,0.111171,-0.874041,19.6026,5.93878,0.985302,0.0913854,1,3944,15,1,3944
25,-0.672909,0.313592,-0.100193,-0.66243,14.3059,5.9972,1.67327,0.586213,1,1533,7,1,1533
26,0.412769,0.0484461,0.219673,0.88262,17.458,0.360766,0.857209,0.127098,1,2786,11,1,2786
27,-0.461264,-0.1393,-0.0699931,-0.87346,17.7981,0.373249,1.00551,6.06986,1,2952,13,1,2952
28,-0.759783,0.313262,-0.0397637,-0.568344,18.751,5.96197,1.92923,0.460919,1,3452,12,1,3452
29,-0.64452,0.103199,0.0512535,-0.755855,16.7213,6.05671,1.42237,0.0910654,1,2448,13,1,2448
30,-0.490949,-0.139278,0.171508,-0.842707,19.1845,0.0756507,1.07112,5.80598,1,3697,9,1,3697
31,-0.490949,-0.139278,0.171508,-0.842707,18.0243,0.0756507,1.07112,5.80598,1,3066,9,1,3066
32,0.489373,0.108026,-0.379072,0.777913,18.3173,6.04701,1.04986,5.61249,1,3218,15,1,3218
33,0.799358,-0.161505,0.309405,0.489092,14.9314,0.364694,1.90722,0.763414,1,1743,9,1,1743
34,0.742062,0.2002,0.191252,0.61048,13.736,0.567111,1.75328,0.0400815,1,1357,8,1,1357
35,-0.739974,0.072804,0.0207989,-0.66836,22.1447,6.154,1.67672,0.0669622,1,5686,16,1,5686
36,0.854137,0.169509,0.100195,0.481328,17.7355,0.401143,2.11363,0.00932121,1,2921,12,1,2921
37,0.765726,0.0491807,0.101116,0.633262,17.6297,0.222478,1.74925,0.0941992,1,2869,13,1,2869
38,-0.564618,0.28189,-0.249824,-0.734392,15.961,6.14803,1.36588,0.790952,1,2129,9,1,2129
39,0.756853,0.140247,0.131261,0.62472,19.2603,0.390324,1.75686,0.0238752,1,3741,18,1,3741
40,0.726751,0.0183428,0.427776,0.537126,19.8947,0.697787,1.62783,0.647318,1,4123,17,1,4123
41,0.695617,-0.041759,-0.351948,0.624905,19.5411,5.7103,1.54205,5.83022,1,3907,14,1,3907
42,-0.375079,0.161272,-0.129303,-0.903653,15.7019,6.01924,0.841138,0.548195,1,2027,7,1,2027
43,0.60153,-0.102822,-0.172531,0.77319,18.3797,5.89434,1.31276,6.23294,1,3251,14,1,3251
44,0.867043,0.0186042,0.0702499,0.492906,18.9268,0.163022,2.09927,0.120115,1,3550,13,1,3550
45,0.747874,-0.0115042,-0.437517,0.499129,18.3779,5.54809,1.68997,5.57885,1,3250,17,1,3250
46,0.628303,-0.222064,0.310224,0.678,18.6564,0.0893908,1.45872,0.768852,1,3400,12,1,3400
47,0.639391,-0.192629,0.28108,0.689251,20.3152,0.094595,1.46244,0.679838,1,4390,19,1,4390
48,0.847934,-0.101209,0.308418,0.419097,17.2807,0.515624,2.04707,0.75322,1,2702,9,1,2702
49,-0.712228,-0.0187486,-0.00972125,-0.70163,18.5903,0.0401719,1.58604,6.27072,1,3364,15,1,3364
50,0.825458,-0.221234,0.24916,0.455625,15.5874,0.238564,2.04952,0.762284,1,1983,7,1,1983
51,-0.706371,-0.260332,0.171712,-0.635438,18.4977,0.0891805,1.70466,5.66616,1,3314,15,1,3314
52,-0.771877,-0.260705,-0.00963492,-0.579781,12.3447,0.342341,1.90448,5.97408,1,985,8,1,985
53,0.865673,0.0791781,-0.0509379,0.491677,19.0959,6.27116,2.10752,6.08874,1,3646,15,1,3646
54,-0.696211,-0.349969,-0.0397265,-0.625486,20.3752,0.529214,1.78685,5.88083,1,4429,15,1,4429
55,-0.633646,-0.319618,0.171092,-0.683421,20.9565,0.221866,1.57812,5.57071,1,4819,11,1,4819
56,-0.607051,-0.140337,-0.070514,-0.778988,17.9712,0.31746,1.3453,6.14627,1,3039,9,1,3039
57,-0.473579,0.311831,0.0204663,-0.823447,14.2841,5.67604,1.20577,0.557448,1,1526,7,1,1526
58,-0.587756,-0.230266,-0.160841,-0.758716,20.5712,0.582291,1.36633,6.11869,1,4558,13,1,4558
59,0.80333,0.0488635,0.221566,0.550619,17.115,0.44332,1.87073,0.321817,1,2625,15,1,2625
60,0.752295,0.170424,-0.142121,0.620331,13.8895,6.28074,1.76194,5.83519,1,1403,6,1,1403
61,0.452007,0.0485867,0.220311,0.863014,21.0719,0.357023,0.94387,0.142863,1,4899,16,1,4899
62,-0.497292,-0.396632,0.11652,-0.762763,16.8277,0.521677,1.37885,5.45833,1,2495,10,1,2495
63,0.857904,-0.360906,-0.335928,0.144571,18.1912,6.01175,0.806559,0.0960016,1,3152,21,0,3152
64,0.889039,0.0483925,0.219431,0.398895,18.6142,0.557295,2.19625,0.448538,1,3377,9,1,3377
65,0.757131,0.0794608,-0.172714,0.624987,17.021,6.11813,1.7306,5.909,1,2582,13,1,2582
66,-0.422938,0.33962,-0.128807,-0.830175,19.3966,5.76055,1.14663,0.830497,1,3821,13,1,3821
67,-0.503555,0.311827,0.14056,-0.793372,18.6105,5.55338,1.26779,0.379105,1,3375,11,1,3375
68,-0.65867,0.312287,-0.220048,-0.648235,20.7973,6.16771,1.63358,0.76998,1,4710,20,1,4710
69,0.868842,-0.0117033,-0.0206654,0.49452,14.3925,6.22795,2.10603,6.25489,1,1561,10,1,1561
70,-0.633646,-0.319618,0.171092,-0.683421,11.7158,0.221866,1.57812,5.57071,1,842,6,1,842
71,-0.439947,0.221507,-0.189487,-0.849398,15.8249,6.03624,1.03007,0.685921,1,2075,18,1,2075
72,-0.698347,-0.489621,-0.00075948,-0.522094,19.2294,0.612928,2.04298,5.67317,1,3723,14,1,3723
