167
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,FPhases,NumCells,NumNeighbors,SurfaceFeatures,Volumes
1,-0.181869,-0.888182,0.169894,-0.386254,14.7639,0.954442,2.27036,4.49998,1,1685,12,1,1685
2,0.0277899,-0.431666,0.140963,-0.890518,6.83239,1.4781,0.894659,4.49111,1,167,3,1,167
3,-0.304287,-0.709547,0.111041,-0.625797,17.7214,0.990061,1.76409,4.9419,1,2914,12,1,2914
4,-0.331727,-0.800957,0.140072,-0.478336,18.6105,0.893273,2.09804,4.82018,1,3375,20,1,3375
5,-0.273338,-0.489231,-0.0398175,-0.827257,18.4192,1.10939,1.18976,5.26999,1,3272,14,1,3272
6,-0.0102971,0.759381,-0.111354,-0.640964,20.3676,1.20267,1.83448,3.96981,1,4424,17,0,4424
7,0.238679,-0.7924,-0.190481,-0.528064,19.6208,2.20955,1.94952,4.76601,1,3955,11,1,3955
8,0.165135,-0.514786,-0.359197,-0.760725,15.4473,2.32235,1.14236,4.84312,1,1930,6,1,1930
9,-0.211883,-0.380794,0.0801574,-0.89648,18.3382,0.973859,0.901795,5.13097,1,3229,10,1,3229
10,-0.123433,-0.506349,0.111318,-0.846158,15.9535,1.20088,1.09646,4.82069,1,2126,10,1,2126
11,-0.0629794,-0.541101,0.172089,-0.820749,20.7294,1.24825,1.15219,4.62158,1,4664,18,1,4664
12,0.117016,-0.430024,0.348398,-0.824624,16.4199,1.43673,0.923824,4.04696,1,2318,9,1,2318
13,0.147996,-0.87549,-0.16003,-0.431282,16.1021,2.09357,2.18557,4.90024,1,2186,7,1,2186
14,-0.0327743,-0.551809,-0.0402105,-0.832355,17.9475,1.55974,1.1714,4.81999,1,3027,17,1,3027
15,-0.0325198,-0.737141,0.322157,-0.593111,15.8426,1.02913,1.65978,4.2589,1,2082,11,1,2082
16,-0.421526,-0.591057,-0.00965296,-0.687659,16.9902,0.965321,1.62489,5.34594,1,2568,7,1,2568
17,0.146663,-0.872969,-0.277773,-0.373172,14.9114,2.37713,2.17386,5.18582,1,1736,9,1,1736
18,0.0275035,-0.518491,0.437761,-0.734014,19.8528,1.08603,1.09188,4.12163,1,4097,16,1,4097
19,0.268425,-0.636959,0.261069,-0.67385,13.9584,1.60001,1.52632,3.94393,1,1424,5,1,1424
20,0.206664,-0.85018,0.259075,-0.409102,20.0416,1.24473,2.13061,3.9094,1,4215,12,1,4215
21,-0.302108,-0.445029,0.0502908,-0.841517,17.8462,0.914715,1.13585,5.24909,1,2976,10,1,2976
22,0.118666,-0.535102,-0.191285,-0.814244,17.8041,2.01977,1.16019,4.7249,1,2955,10,1,2955
23,0.0884914,-0.840951,0.141652,-0.51469,19.7179,1.40707,2.01535,4.33898,1,4014,14,1,4014
24,-0.0936232,-0.735535,-0.161899,-0.651161,12.8693,1.68788,1.67052,5.08268,1,1116,4,1,1116
25,-0.184163,-0.54008,0.0508333,-0.819642,19.3542,1.18023,1.21451,4.97908,1,3796,14,1,3796
26,-0.00232905,-0.738506,0.409274,-0.535816,16.8029,0.915347,1.66172,4.06325,1,2484,12,1,2484
27,0.208944,-0.49723,-0.100285,-0.836091,16.8904,2.08798,1.13932,4.43395,1,2523,7,1,2523
28,0.148353,-0.552663,-0.280974,-0.77046,20.759,2.18274,1.21844,4.79983,1,4684,13,1,4684
29,-0.124131,-0.738096,0.111949,-0.653661,18.6838,1.23456,1.69148,4.70939,1,3415,10,1,3415
30,-0.153469,-0.803614,0.201819,-0.538443,15.6397,1.02348,1.91633,4.54248,1,2003,7,1,2003
31,0.0583822,-0.608787,-0.192031,-0.767525,18.8321,1.91157,1.31611,4.86194,1,3497,11,1,3497
32,-0.420659,-0.733678,0.0501288,-0.531272,20.0764,0.956121,2.01581,5.13891,1,4237,12,1,4237
33,-0.152211,-0.774562,-0.339395,-0.511563,20.8032,1.96253,1.81958,5.4922,1,4714,21,1,4714
34,-0.242394,-0.748259,0.290399,-0.544997,17.8382,0.767941,1.81038,4.53609,1,2972,13,1,2972
35,-0.0324675,-0.580919,-0.341061,-0.738347,17.1864,1.94769,1.24194,5.20095,1,2658,12,1,2658
36,0.325491,-0.843716,0.139398,-0.403444,14.2778,1.60631,2.25959,4.01152,1,1524,7,1,1524
37,-0.122598,-0.905193,-0.0698209,-0.4009,15.9359,1.60861,2.3034,5.01944,1,2119,6,1,2119
38,-0.213091,-0.729695,-0.280667,-0.585972,16.7916,1.73336,1.72716,5.4432,1,2479,10,1,2479
39,-0.00236297,-0.728443,0.233073,-0.644238,19.0539,1.22042,1.6321,4.3685,1,3622,18,1,3622
40,0.808139,-0.242385,0.484859,0.230376,16.5604,0.835841,2.0083,1.41863,1,2378,10,1,2378
41,0.856966,0.162069,0.483123,-0.0770416,17.5804,1.91584,2.11919,1.54202,1,2845,13,1,2845
42,0.752684,0.342026,0.560874,0.0436467,14.9684,1.91965,1.94661,1.06662,1,1756,6,1,1756
43,0.531675,-0.0192596,0.823176,-0.198324,13.9224,1.77101,1.12198,1.84343,1,1413,7,1,1413
44,0.724087,-0.110436,0.652014,0.195907,19.0854,1.12756,1.64386,1.43026,1,3640,14,0,3640
45,0.822121,0.192035,0.509111,-0.167469,19.726,2.11806,2.01033,1.65912,1,4019,17,1,4019
46,0.668478,0.193575,0.717968,0.0136933,14.7668,1.83359,1.53946,1.26986,1,1686,8,1,1686
47,0.746565,0.311381,0.555092,0.193794,13.7596,1.63005,1.88455,0.839758,1,1364,7,1,1364
48,0.885841,-0.0192117,0.451728,0.104207,20.5259,1.32239,2.1775,1.36576,1,4528,12,1,4528
49,0.489882,0.161844,0.840702,0.164447,17.5038,1.69671,1.08417,1.05854,1,2808,14,1,2808
50,0.634232,0.0718248,0.744435,0.195979,18.7961,1.42614,1.38454,1.20061,1,3477,15,1,3477
51,0.395953,0.249676,0.862443,0.192548,20.0289,1.91374,0.974277,0.788545,1,4207,15,1,4207
52,0.626714,-0.110234,0.736674,-0.228886,17.5618,1.69793,1.37948,2.04615,1,2836,14,1,2836
53,0.759374,0.0108804,0.509052,-0.405092,14.1486,2.25728,1.72494,2.22863,1,1483,13,1,1483
54,0.41902,-0.169492,0.888969,0.0736837,19.0574,1.10372,0.938016,1.87248,1,3624,13,1,3624
55,0.815315,0.369233,0.445812,0.0134441,14.4871,1.96589,2.21698,1.11541,1,1592,7,1,1592
56,0.401751,-0.28819,0.869115,0.0134637,18.2545,0.933041,1.03435,2.17757,1,3185,9,1,3185
57,0.754992,0.193317,0.622155,0.0744288,18.546,1.7024,1.78725,1.20107,1,3340,12,1,3340
58,0.670475,0.222161,0.659224,-0.257938,14.9968,2.26372,1.56858,1.6238,1,1766,10,1,1766
59,0.831099,0.367762,0.40358,-0.105588,19.6505,2.24329,2.28095,1.41009,1,3973,16,1,3973
60,0.724087,-0.110436,0.652014,0.195907,18.1488,2.31429,1.29248,0.868369,1,3130,18,0,3130
61,0.661122,0.371984,0.649901,-0.0466282,14.4901,2.15493,1.72228,1.12991,1,1593,5,1,1593
62,0.776851,0.22316,0.583722,-0.0772709,18.4249,1.98214,1.88241,1.42268,1,3275,11,1,3275
63,0.823073,0.340118,0.452755,0.0434033,19.7064,1.86708,2.19723,1.08336,1,4007,15,1,4007
64,0.745664,-0.0495676,0.613177,0.256014,19.3168,1.1089,1.68801,1.24165,1,3774,14,1,3774
65,0.777608,-0.231456,0.584438,0.0136454,17.5266,1.25815,1.89283,1.83675,1,2819,12,1,2819
66,0.72475,0.342239,0.593053,-0.0767909,17.8681,2.14074,1.85957,1.25839,1,2987,12,1,2987
67,0.390122,-0.0191354,0.920416,-0.0165408,18.5608,1.53975,0.802548,1.63778,1,3348,14,1,3348
68,0.607696,0.131559,0.71704,0.31504,19.9605,1.37002,1.34201,0.943626,1,4164,17,1,4164
69,0.631947,0.010855,0.620824,-0.463792,14.1327,2.22959,1.36837,2.19524,1,1478,5,1,1478
70,0.839917,-0.168064,0.411325,0.311618,17.5783,0.724965,2.05716,1.11994,1,2844,14,1,2844
71,0.861458,-0.0494942,0.487151,0.134627,19.5377,1.24378,2.08188,1.35856,1,3905,13,1,3905
72,0.505712,0.0413535,0.858236,-0.0773086,15.4793,1.74222,1.06433,1.57904,1,1942,9,1,1942
73,0.849707,-0.0191798,0.476615,0.224652,16.0726,1.10776,2.03168,1.1529,1,2174,10,1,2174
74,0.82734,0.222535,0.513874,0.0438237,16.7735,1.74848,2.05785,1.22296,1,2471,13,1,2471
75,0.570679,0.161372,0.739966,-0.317386,19.869,2.25156,1.2697,1.70041,1,4107,14,1,4107
76,0.407413,0.0408661,0.875627,-0.256168,19.877,1.95538,0.843718,1.75544,1,4112,12,1,4112
77,0.451552,0.398414,0.798184,-0.0163914,18.7038,1.40127,2.18599,2.20584,1,3426,17,0,3426
78,0.703943,0.0713851,0.632285,0.31557,21.4299,1.20894,1.57206,1.00681,1,5153,22,1,5153
79,0.837783,-0.0191163,0.465929,0.284014,17.0254,1.00056,1.98722,1.04619,1,2584,13,1,2584
80,0.613426,-0.140001,0.722957,0.285379,19.3627,0.970449,1.36105,1.41922,1,3801,16,1,3801
81,0.656843,0.132293,0.706167,-0.228874,15.2309,2.08297,1.46851,1.68547,1,1850,14,1,1850
82,0.444203,0.25114,0.853376,-0.106589,17.7739,2.20962,1.07103,1.18049,1,2940,11,1,2940
83,0.439065,-0.288869,0.847574,0.0734512,13.7697,0.902431,1.10677,2.06627,1,1367,8,1,1367
84,0.0201323,0.781266,0.162557,-0.602323,17.3783,1.74453,1.06448,2.29744,1,2748,17,0,2748
85,0.424787,0.131475,0.895593,0.013563,17.8641,1.85581,0.921607,1.2555,1,2985,10,1,2985
86,0.983146,0.0564226,-0.00205916,-0.173887,5.73956,4.53981,1.55586,1.45579,2,99,3,0,99
87,0.0201983,0.701517,0.102081,-0.705015,5.98053,4.11413,1.71549,1.76488,2,112,3,0,112
88,0.380242,0.546841,0.138484,-0.732942,6.20351,3.91805,1.45779,1.99165,2,125,5,1,125
89,-0.139986,0.374567,-0.334904,-0.853196,5.01397,5.44409,0.822751,1.58719,2,66,2,1,66
90,0.0201983,0.701517,0.102081,-0.705015,5.53941,4.41518,1.00678,1.35643,2,89,4,0,89
91,-0.679422,-0.0541722,0.0417625,-0.730553,5.08882,5.06091,2.07878,1.18114,2,69,4,0,69
92,0.0810771,0.695869,-0.141728,-0.699361,6.06824,4.79635,1.55241,1.88673,2,117,3,1,117
93,0.397625,-0.0963454,0.287741,0.86592,5.3902,3.86796,1.87497,0.950113,2,82,3,0,82
94,0.0201983,0.701517,0.102081,-0.705015,5.64126,4.29511,0.98257,1.75869,2,94,3,0,94
95,0.944905,-0.0294284,0.126076,-0.300654,6.28514,5.39119,2.03552,1.79823,2,130,2,0,130
96,0.0201983,0.701517,0.102081,-0.705015,5.96268,4.19088,1.22497,1.99298,2,111,3,0,111
97,0.0201983,0.701517,0.102081,-0.705015,6.36471,4.35206,1.20439,2.05245,2,135,2,0,135
98,-0.101146,0.829856,-0.141016,-0.530304,4.9628,5.09358,1.9799,1.70941,2,64,4,1,64
99,0.438203,0.631407,-0.0793076,-0.634834,5.3682,4.29571,1.27095,1.42683,2,81,4,0,81
100,0.367662,-0.186797,0.208948,-0.88672,6.10262,4.43404,0.989978,1.89399,2,119,3,0,119
101,-0.610546,-0.114948,-0.0192326,-0.783359,5.6612,4.78093,1.22741,1.17829,2,95,4,0,95
102,-0.367537,0.829105,0.0698976,-0.41547,4.66043,4.96298,2.27182,0.986857,2,53,3,1,53
103,0.378404,0.481763,0.100006,-0.784036,5.43367,4.79161,0.867446,1.60153,2,84,5,0,84
104,0.0201983,0.701517,0.102081,-0.705015,5.77796,5.43967,2.31166,1.54387,2,101,3,0,101
105,0.171009,0.848119,-0.110347,-0.489156,4.57078,4.7353,2.09105,1.99163,2,50,1,1,50
106,0.93988,-0.157384,0.0406209,-0.300342,6.41151,4.45483,2.3502,2.08437,2,138,2,0,138
107,0.0201983,0.701517,0.102081,-0.705015,6.22,5.05705,1.38642,1.59632,2,126,3,0,126
108,0.688492,-0.313353,0.106411,-0.645341,5.72017,4.52424,1.5932,0.927847,2,98,5,0,98
109,-0.0101825,0.68982,-0.351221,-0.632999,3.05983,5.23371,1.52269,2.0626,2,15,2,1,15
110,0.407531,0.774152,0.0699913,-0.47928,5.62119,4.08282,2.13032,1.91035,2,93,2,1,93
111,-0.832564,-0.350462,-0.137852,-0.406216,5.81585,5.39746,1.64464,0.819979,2,103,3,0,103
112,-0.160446,0.710743,0.341052,-0.593957,5.6612,4.41318,1.63263,0.827538,2,95,1,1,95
113,-0.804659,-0.205212,0.0717375,-0.552509,5.81585,4.28667,1.93194,1.19376,2,103,2,0,103
114,0.0899905,0.801032,0.395792,-0.439997,5.41203,4.93475,0.778269,1.71668,2,83,4,0,83
115,-0.311278,0.656523,0.191093,-0.659975,3.62783,4.87329,1.62666,0.846219,2,25,3,1,25
116,-0.422431,0.304972,-0.197795,-0.830314,6.03346,3.91971,1.31871,2.10974,2,115,3,0,115
117,0.140101,0.830105,-0.260048,-0.47294,4.98852,5.04792,2.00138,2.24073,2,65,3,1,65
118,0.0201983,0.701517,0.102081,-0.705015,5.83461,3.89769,2.06937,0.940702,2,104,4,0,104
119,0.0201983,0.701517,0.102081,-0.705015,5.6612,4.71541,2.35511,1.35632,2,95,4,0,95
120,0.0201983,0.701517,0.102081,-0.705015,6.39598,4.30722,1.86298,0.764726,2,137,2,0,137
121,0.563101,-0.00681666,-0.223236,0.795636,6.76351,4.77491,2.30237,1.01237,2,162,4,0,162
122,0.944905,-0.0294284,0.126076,-0.300654,6.17024,4.01202,1.84779,1.07093,2,123,3,0,123
123,0.201148,0.665828,-0.261275,-0.669289,4.77484,4.79119,1.53836,2.23636,2,57,1,1,57
124,0.0796105,0.782939,-0.378402,-0.487321,4.85718,5.2713,1.81178,2.33237,2,60,1,1,60
125,0.0201983,0.701517,0.102081,-0.705015,6.30121,4.37489,1.42731,2.36076,2,131,2,0,131
126,0.242974,0.665481,0.297594,-0.63995,5.81585,3.92704,1.5746,1.48559,2,103,4,1,103
127,0.170959,0.756486,0.252006,-0.578788,4.24314,4.07948,1.77521,1.38241,2,40,2,1,40
128,-0.788477,0.12848,-0.080026,-0.596148,5.41203,5.22135,2.06582,2.12608,2,83,3,0,83
129,-0.884794,-0.23287,-0.0788198,-0.395852,6.81873,4.81648,1.04738,1.51248,2,166,7,0,166
130,-0.0405529,0.709719,-0.262308,-0.652571,5.3682,5.15166,1.58149,1.89591,2,81,1,1,81
131,0.983146,0.0564226,-0.00205916,-0.173887,5.85325,5.05782,1.65584,1.55571,2,105,2,0,105
132,-0.0404925,0.765044,-0.261916,-0.586914,4.91056,5.18501,1.74555,1.93766,2,62,4,1,62
133,-0.679422,-0.0541722,0.0417625,-0.730553,6.26898,4.35108,1.42167,1.74354,2,129,2,0,129
134,-0.547058,0.278137,0.131709,-0.778473,5.3682,4.11941,1.39959,1.32276,2,81,5,0,81
135,0.0202046,0.76361,-0.0199441,-0.645053,6.0509,4.71684,1.7386,1.62816,2,116,2,1,116
136,-0.251516,0.572258,0.191443,-0.75671,1.56319,4.8787,1.3505,0.908902,2,2,1,1,2
137,-0.191094,0.661128,-0.291068,-0.664585,6.10262,5.40657,1.51799,1.70223,2,119,3,1,119
138,0.231085,0.63189,0.251722,-0.695666,4.88402,4.01461,1.47602,1.57421,2,61,4,1,61
139,0.111365,0.81226,0.010534,-0.572468,6.54796,5.25842,1.77655,1.77683,2,147,5,0,147
140,0.0201983,0.701517,0.102081,-0.705015,5.75882,4.77885,1.18806,2.14519,2,100,1,0,100
141,0.231887,0.764728,0.131539,-0.586614,5.53941,4.19739,1.85164,1.64463,2,89,1,1,89
142,0.0498546,0.763396,0.370319,-0.526882,1.56319,4.03454,1.74215,1.02337,2,2,2,1,2
143,0.409417,0.58048,0.0103807,-0.703785,5.68099,4.08336,1.57995,2.17033,2,96,1,1,96
144,0.172162,0.629342,0.0713445,-0.754452,6.45764,5.02111,0.969471,1.44345,2,141,3,0,141
145,0.620297,-0.342744,-0.104656,-0.697714,5.47646,5.15471,1.2195,1.10296,2,86,4,0,86
146,0.0798625,0.73401,-0.3796,-0.557454,3.12637,5.20184,1.66122,2.277,2,16,3,1,16
147,0.318982,0.844237,0.0402803,-0.428826,5.01397,4.25748,2.25103,1.83839,2,66,4,1,66
148,0.0792394,0.856043,0.337729,-0.38321,5.03917,5.34561,1.80709,2.25447,2,67,5,0,67
149,0.0201983,0.701517,0.102081,-0.705015,6.20351,4.55773,1.92233,1.68865,2,125,3,0,125
150,-0.336977,0.850828,-0.138312,-0.378693,5.77796,4.28683,1.76446,1.67524,2,101,2,0,101
151,-0.884527,-0.114,-0.0190739,-0.451942,5.92665,4.9242,1.73617,0.856107,2,109,5,0,109
152,-0.0101618,0.442253,-0.230201,-0.866785,5.25539,4.99495,0.916478,1.80741,2,76,3,1,76
153,-0.764611,0.0982507,0.0721538,-0.632859,6.30121,5.37203,1.8192,1.8978,2,131,3,0,131
154,0.0201983,0.701517,0.102081,-0.705015,6.11966,5.03443,1.73546,2.18361,2,120,2,0,120
155,-0.0704611,0.478937,-0.230674,-0.844064,4.93682,5.12524,1.01065,1.6915,2,63,3,1,63
156,0.0201983,0.701517,0.102081,-0.705015,6.13662,4.22998,1.7532,2.30177,2,121,3,0,121
157,0.865335,-0.0968753,0.229246,0.435037,5.70065,4.46532,1.49629,1.02575,2,97,1,0,97
158,0.349782,0.553314,-0.169568,-0.736711,6.10262,4.30722,1.86298,0.764726,2,119,6,0,119
159,0.0199579,0.810738,0.281714,-0.512779,6.15347,4.7278,1.30694,1.45198,2,122,3,0,122
160,0.378404,0.481763,0.100006,-0.784036,6.31721,4.1854,1.89166,1.09304,2,132,4,0,132
161,0.0201983,0.701517,0.102081,-0.705015,6.08547,5.41824,2.11518,1.83708,2,118,3,0,118
162,0.261311,0.512084,0.0406169,-0.817213,6.15347,5.29112,2.33742,1.39854,2,122,3,0,122
163,0.0201983,0.701517,0.102081,-0.705015,6.11966,4.98081,1.56263,2.24099,2,120,3,0,120
164,0.202239,0.745203,0.101585,-0.627258,5.89018,5.31969,1.4676,1.59749,2,107,3,0,107
165,0.819362,0.204323,0.169841,0.507987,6.44233,5.32831,1.3041,1.54496,2,140,4,0,140
166,0.808454,-0.15843,0.110116,0.556037,6.01592,4.6354,1.02379,1.20459,2,114,5,0,114
167,-0.310846,0.802157,0.0705533,-0.504917,6.03346,4.94325,2.07164,1.06227,2,115,3,1,115
Feature_ID,NumNeighbors,NeighborList
1,12,5,11,14,27,28,33,47,56,79,121,164,167
2,3,35,58,83
3,12,8,30,34,48,54,60,62,72,78,97,117,137
4,20,8,11,22,27,29,37,39,44,48,49,52,55,57,59,72,74,92,93,111,158
5,14,1,11,26,33,39,50,68,79,110,114,121,123,141,167
6,17,7,9,25,26,31,41,50,51,63,65,68,75,80,85,104,118,129
7,11,6,9,17,21,31,50,65,104,105,112,147
8,6,3,4,29,48,72,92
9,10,6,7,17,21,25,31,50,68,75,85
10,10,13,16,19,35,41,63,80,83,144,149
11,18,1,4,5,14,18,26,27,28,33,39,44,49,56,59,70,76,121,139
12,9,23,40,52,60,72,77,78,84,96
13,7,10,16,37,49,64,74,80
14,17,1,11,18,22,28,33,39,44,53,59,70,122,126,139,150,151,166
15,11,18,20,28,36,56,66,67,81,84,103,162
16,7,10,13,19,37,41,64,80
17,9,7,9,21,25,31,58,69,142,147
18,16,11,14,15,20,28,44,45,53,56,59,76,81,84,126,151,166
19,5,10,16,63,83,149
20,12,15,18,36,40,56,66,67,71,76,77,84,95
21,10,7,9,17,50,69,75,98,109,135,147
22,10,4,14,49,55,59,70,74,82,152,158
23,14,12,30,32,34,40,46,54,61,71,73,77,78,101,154
24,4,30,34,46,91
25,14,6,9,17,31,35,41,58,63,80,85,88,102,118,129
26,12,5,6,11,33,39,50,51,64,65,68,125,161
27,7,1,4,11,44,52,56,76
28,13,1,11,14,15,18,33,36,47,53,56,136,151,166
29,10,4,8,37,48,49,55,57,74,92,93
30,7,3,23,24,34,46,78,91
31,11,6,7,9,17,25,41,58,63,65,83,104
32,12,23,34,38,43,46,61,71,73,77,78,101,116
33,21,1,5,11,14,26,28,39,47,51,53,68,70,75,79,85,114,122,139,156,164,165
34,13,3,23,24,30,32,43,46,54,73,78,91,94,117
35,12,2,10,25,41,58,63,80,83,85,88,102,144
36,7,15,20,28,42,56,66,143
37,6,4,13,16,29,49,74
38,10,32,42,66,67,71,73,77,116,155,160
39,18,4,5,11,14,26,33,44,49,51,59,64,65,68,70,86,120,125,139
40,10,12,20,23,52,71,76,77,84,95,107
41,13,6,10,16,25,31,35,51,63,64,65,80,118,129
42,6,36,38,66,71,131,160
43,7,32,34,54,73,124,159,163
44,14,4,11,14,18,27,39,45,48,52,57,59,70,76,106
45,17,18,44,48,52,57,59,60,62,76,81,84,100,108,132,134,138,148
46,8,23,24,30,32,34,61,91,154
47,7,1,28,33,53,79,164,165
48,12,3,4,8,29,44,45,52,57,60,62,72,78
49,14,4,11,13,22,29,37,39,59,64,70,74,82,111,158
50,15,5,6,7,9,21,26,65,68,75,90,98,109,119,128,161
