16
#time=1
grain_id phi1 Phi phi2
0 182.913900 73.920100 171.376800
1 209.486000 124.569000 201.763100
2 161.580400 91.423400 166.529000
3 136.036200 105.715300 135.788100
4 166.845900 98.646100 180.770500
5 171.819700 133.051700 168.121900
6 98.191800 179.999800 122.028000
7 146.889200 87.777700 177.356800
8 116.044000 179.999800 91.146100
9 159.084000 65.124700 140.034300
10 66.604600 179.999800 107.469700
11 264.314000 123.790400 86.463300
12 51.683700 179.999800 94.875500
13 272.938800 124.695700 130.539300
14 166.787400 126.030100 135.770900
15 296.992700 120.353200 52.902600
